X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1367.0,1367.0,train,8.24259893671671E-5,11.589682834925203,0.42815220643844687
1368.0,1368.0,train,2.1339159545727808E-4,78.48769104074907,0.7646975529840909
1369.0,1369.0,train,1.8856950976696454E-4,57.31529048930106,0.7215674782040626
1370.0,1370.0,train,2.2705834597453348E-4,86.31190088246147,0.7855223677341301
1372.0,1372.0,train,2.2311840681140375E-4,84.07263581419564,0.7797155034174188
1373.0,1373.0,train,9.177121548793243E-5,13.072719249549477,0.46326292893014986
1376.0,1376.0,train,2.058634764674503E-4,72.6656232478297,0.7523750095441538
1378.0,1378.0,train,1.0623910182378714E-4,15.556523337243192,0.5134157439106217
1381.0,1381.0,train,1.764211187246257E-4,47.123141479923696,0.6976616145286334
1383.0,1383.0,train,2.0083572394007408E-4,68.69810423727105,0.7437878748228743
1384.0,1384.0,train,2.1351452050356916E-4,78.55375195349713,0.7648935918253768
1385.0,1385.0,train,1.7555349152011918E-4,46.22023606967651,0.6958777543740757
1386.0,1386.0,train,3.4756894166335386E-5,4.508794541167259,0.20995562801604506
1388.0,1388.0,train,1.1131559358551942E-4,16.508207532608033,0.5298793547484032
1389.0,1389.0,train,2.0893376466336132E-4,75.03070726137041,0.7574767363852924
1390.0,1390.0,train,1.6886148649340377E-4,41.351259573215785,0.6817604771093657
1392.0,1392.0,train,1.2663912270896284E-4,19.976850596878954,0.5762729633546533
1394.0,1394.0,train,1.9764245965425903E-4,65.7129903938595,0.7381799665427015
1395.0,1395.0,train,2.1146072883506642E-4,77.24447672189496,0.7615967012040387
1396.0,1396.0,train,2.369705464988507E-4,90.15081198158464,0.7994634306452444
1397.0,1397.0,train,1.8670664949396325E-4,55.6245664285967,0.7180283019856564
1398.0,1398.0,train,1.596364227438634E-4,34.636375078642814,0.6612189336043557
1399.0,1399.0,train,1.8452223810019072E-4,53.64065929063815,0.713820876669687
1400.0,1400.0,train,8.765474435024968E-5,12.392386249297015,0.44807082501523277
1401.0,1401.0,train,1.6675068866474612E-4,39.6532376480717,0.677173056423611
1405.0,1405.0,train,2.2067979597492176E-4,82.74731706915153,0.7760428652509236
1406.0,1406.0,train,1.5115407080717005E-4,29.219512425940795,0.6411631086602485
1407.0,1407.0,train,1.6180470493934812E-4,36.12861131031759,0.6661632090521699
1409.0,1409.0,train,1.8778876796992752E-4,56.634527372079724,0.7200896168226294
1410.0,1410.0,train,1.722986965796692E-4,43.777140974427454,0.6890915160901794
1411.0,1411.0,train,1.5358011219552992E-4,30.49749782183593,0.6470175369165718
1412.0,1412.0,train,1.9760135787200234E-4,65.68175356515539,0.7381069904974105
1413.0,1413.0,train,1.9551418608530733E-4,63.968806889148965,0.7343743595821921
1414.0,1414.0,train,1.8720052186488903E-4,56.09285541777828,0.7189709500493973
1416.0,1416.0,train,1.3644961093291764E-4,22.64514115409031,0.6035419302676661
